"Country","Country_code","Total.Library.Size","No..of.TV.Shows","No..of.Movies","Cost.Per.Month...Basic....","Cost.Per.Month...Standard....","Cost.Per.Month...Premium....","basic_standard_diff","standard_premium_diff","2020 GDP (World Bank)","year","gini_disp","X..of.Subscribers.Q4.2021..Estimate.","Q4.2021.Revenue....Estimate.","Alpha.3.code"
"Australia","au",6114,4050,2064,7.84,12.12,16.39,4.28,4.27,1391952510370.48,2018,32.8,"6,622,078","193,497,120","AUS"
"Austria","at",5640,3779,1861,9.03,14.67,20.32,5.64,5.65,445011872704.47,2019,27.7,"961,399","33,629,745","AUT"
"Belgium","be",4990,3374,1616,10.16,15.24,20.32,5.08,5.08,535288715239.999,2019,26.1,"1,699,092","59,434,234","BEL"
"Brazil","br",4972,3162,1810,4.61,7.11,9.96,2.5,2.85,1877824273720.78,2019,48.5,"18,836,193","423,814,354","BRA"
"Bulgaria","bg",6797,4819,1978,9.03,11.29,13.54,2.26,2.25,68915416141.9576,2019,38.3,"177,887","6,222,493","BGR"
"Canada","ca",6239,4311,1928,7.91,11.87,15.03,3.96,3.16,1742015045482.31,2019,30,"6,895,241","300,770,416","CAN"
"Chile","cl",4994,3156,1838,7.07,9.91,12.74,2.84,2.83,279385487344.492,2017,45.8,"978,172","22,008,869","CHL"
"Colombia","co",4991,3156,1835,4.31,6.86,9.93,2.55,3.07,323429888934.257,2020,49.3,"2,823,517","63,529,130","COL"
"Costa Rica","cr",4988,3152,1836,8.99,12.99,15.99,4,3,64072870931.603,2021,47.2,"307,825","6,926,068","CRI"
"Croatia","hr",2274,1675,599,9.03,11.29,13.54,2.26,2.25,62246206340.5469,2019,29.3,"119,162","4,168,272","HRV"
"Denmark","dk",4558,2978,1580,12,15.04,19.6,3.04,4.56,347561349210.979,2020,27,"951,883","33,296,863","DNK"
"Estonia","ee",6456,4486,1970,9.03,11.29,13.54,2.26,2.25,31045591753.4901,2020,30.6,"54,382","1,902,284","EST"
"France","fr",5445,3604,1841,10.16,15.24,20.32,5.08,5.08,2728870246705.88,2019,29.8,"8,650,354","302,589,379","FRA"
"Germany","de",5668,3814,1854,9.03,14.67,20.32,5.64,5.65,3888326788627.44,2019,29.9,"11,057,366","386,786,668","DEU"
"Greece","gr",4772,3344,1428,9.03,12.42,15.8,3.39,3.38,205144152830.847,2019,31.6,"535,372","18,727,310","GRC"
"Hungary","hu",6884,4802,2082,7.64,10.71,13.78,3.07,3.07,163526491433.29,2019,28,"350,487","12,260,051","HUN"
"India","in",5843,3718,2125,2.64,6.61,8.6,3.97,1.99,2870504096717.77,2015,49.8,"5,201,502","151,987,903","IND"
"Indonesia","id",3887,2449,1438,8.36,10.66,12.96,2.3,2.3,1119091259074.62,2019,47.4,"912,424","26,661,023","IDN"
"Ireland","ie",6486,4515,1971,9.03,14.67,20.32,5.64,5.65,399122063504.148,2020,29.2,"547,469","19,150,483","IRL"
"Italy","it",5183,3545,1638,9.03,14.67,20.32,5.64,5.65,2009383867307.45,2019,33.7,"3,812,839","133,373,113","ITA"
"Japan","jp",5475,3619,1856,8.73,13.13,17.45,4.4,4.32,5148781948478.17,2018,32.7,"5,367,199","156,829,544","JPN"
"Latvia","lv",6450,4479,1971,9.03,11.29,13.54,2.26,2.25,34308783825.3019,2019,34.8,"58,777","2,056,033","LVA"
"Lithuania","lt",6462,4490,1972,9.03,11.29,13.54,2.26,2.25,54697379017.3332,2019,35.9,"143,087","5,005,190","LTU"
"Mexico","mx",4993,3158,1835,6.62,10.43,14.24,3.81,3.81,1269433932805.91,2018,43.1,"8,628,011","194,130,247","MEX"
"Netherlands","nl",5376,3779,1597,9.03,13.54,18.06,4.51,4.52,910194347568.626,2019,27.3,"2,850,756","99,719,435","NLD"
"New Zealand","nz",6084,4003,2081,8.8,12.53,16.94,3.73,4.41,212891048340.608,2018,32.9,"1,355,958","39,621,102","NZL"
"Norway","no",4528,2955,1573,9.94,12.17,17.75,2.23,5.58,404941363636.364,2019,25.8,"2,034,578","71,169,522","NOR"
"Poland","pl",5109,3512,1597,7.13,10.58,14.76,3.45,4.18,597280564671.563,2020,29.7,"1,796,961","62,857,693","POL"
"Portugal","pt",5047,3419,1628,9.03,13.54,18.06,4.51,4.52,239986922638.902,2019,32.3,"717,675","25,104,277","PRT"
"Romania","ro",5303,3832,1471,9.03,11.29,13.54,2.26,2.25,249881592298.072,2019,33.8,"481,000","16,825,388","ROU"
"Singapore","sg",6303,4109,2194,9.51,12.81,16.11,3.3,3.3,374386306993.109,2020,37.4,"479,261","14,004,000","SGP"
"South Africa","za",5736,3686,2050,6.26,10.05,12.58,3.79,2.53,387934574098.17,2017,62.6,"361,787","12,655,303","ZAF"
"Spain","es",5229,3536,1693,9.03,14.67,20.32,5.64,5.65,1393046093137.25,2019,32.6,"4,937,053","172,698,106","ESP"
"Sweden","se",4361,2973,1388,10.9,14.2,19.7,3.3,5.5,533879529188.454,2019,26.4,"1,776,031","62,125,571","SWE"
"Switzerland","ch",5506,3654,1852,12.88,20.46,26.96,7.58,6.5,731767398052.879,2018,30,"1,480,974","51,804,471","CHE"
"Turkey","tr",4639,2930,1709,1.97,3,4.02,1.03,1.02,761004425605.414,2019,40.3,"3,194,194","111,732,907","TUR"
"United Kingdom","gb",6643,4551,2092,7.91,13.2,18.48,5.29,5.28,2878673912414.44,2020,32.4,"13,182,309","461,117,172","GBR"
"United States","us",5818,3826,1992,8.99,13.99,17.99,5,4,21433224697000,2020,39.1,"69,548,673","3,033,713,132","USA"
