"country_name","genres","n"
"Argentina","Action",139
"Argentina","Adult",1
"Argentina","Adventure",102
"Argentina","Animation",55
"Argentina","Biography",6
"Argentina","Comedy",177
"Argentina","Crime",124
"Argentina","Documentary",18
"Argentina","Drama",362
"Argentina","Family",13
"Argentina","Fantasy",29
"Argentina","Film-Noir",5
"Argentina","History",3
"Argentina","Horror",34
"Argentina","Music",37
"Argentina","Mystery",58
"Argentina","Romance",91
"Argentina","Sci-Fi",12
"Argentina","Short",2
"Argentina","Sport",15
"Argentina","Talk-Show",9
"Argentina","Thriller",79
"Argentina","War",4
"Argentina","Western",3
"Australia","Action",190
"Australia","Adult",1
"Australia","Adventure",126
"Australia","Animation",52
"Australia","Biography",13
"Australia","Comedy",179
"Australia","Crime",133
"Australia","Documentary",35
"Australia","Drama",275
"Australia","Family",34
"Australia","Fantasy",48
"Australia","Film-Noir",5
"Australia","Game-Show",8
"Australia","History",5
"Australia","Horror",29
"Australia","Mystery",54
"Australia","Reality-TV",26
"Australia","Romance",63
"Australia","Sci-Fi",56
"Australia","Short",5
"Australia","Sport",15
"Australia","Talk-Show",10
"Australia","Thriller",63
"Australia","War",8
"Australia","Western",4
"Austria","Action",200
"Austria","Adult",4
"Austria","Adventure",131
"Austria","Animation",36
"Austria","Biography",13
"Austria","Comedy",180
"Austria","Crime",150
"Austria","Documentary",29
"Austria","Drama",295
"Austria","Family",39
"Austria","Fantasy",57
"Austria","Film-Noir",6
"Austria","Game-Show",6
"Austria","History",5
"Austria","Horror",38
"Austria","Music",3
"Austria","Mystery",62
"Austria","Reality-TV",10
"Austria","Romance",72
"Austria","Sci-Fi",25
"Austria","Short",4
"Austria","Sport",21
"Austria","Talk-Show",11
"Austria","Thriller",78
"Austria","War",3
"Austria","Western",3
"Bahamas","Action",184
"Bahamas","Adult",3
"Bahamas","Adventure",98
"Bahamas","Animation",75
"Bahamas","Biography",8
"Bahamas","Comedy",185
"Bahamas","Crime",135
"Bahamas","Documentary",13
"Bahamas","Drama",291
"Bahamas","Family",43
"Bahamas","Fantasy",36
"Bahamas","Film-Noir",5
"Bahamas","Game-Show",5
"Bahamas","Horror",34
"Bahamas","Music",3
"Bahamas","Mystery",41
"Bahamas","Reality-TV",10
"Bahamas","Romance",61
"Bahamas","Sci-Fi",23
"Bahamas","Short",4
"Bahamas","Sport",17
"Bahamas","Talk-Show",6
"Bahamas","Thriller",101
"Bahamas","War",2
"Bahrain","Action",206
"Bahrain","Adult",2
"Bahrain","Adventure",109
"Bahrain","Animation",36
"Bahrain","Biography",14
"Bahrain","Comedy",161
"Bahrain","Crime",131
"Bahrain","Documentary",18
"Bahrain","Drama",306
"Bahrain","Family",16
"Bahrain","Fantasy",41
"Bahrain","Film-Noir",6
"Bahrain","Game-Show",11
"Bahrain","History",2
"Bahrain","Horror",32
"Bahrain","Music",1
"Bahrain","Mystery",54
"Bahrain","Reality-TV",14
"Bahrain","Romance",78
"Bahrain","Sci-Fi",24
"Bahrain","Short",3
"Bahrain","Sport",15
"Bahrain","Talk-Show",10
"Bahrain","Thriller",78
"Bahrain","War",2
"Bahrain","Western",3
"Bangladesh","Action",228
"Bangladesh","Adult",1
"Bangladesh","Adventure",94
"Bangladesh","Animation",29
"Bangladesh","Biography",4
"Bangladesh","Comedy",191
"Bangladesh","Crime",163
"Bangladesh","Documentary",16
"Bangladesh","Drama",345
"Bangladesh","Family",11
"Bangladesh","Fantasy",27
"Bangladesh","Film-Noir",5
"Bangladesh","Game-Show",4
"Bangladesh","History",2
"Bangladesh","Horror",30
"Bangladesh","Musical",5
"Bangladesh","Mystery",92
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",81
"Bangladesh","Sci-Fi",43
"Bangladesh","Short",2
"Bangladesh","Sport",4
"Bangladesh","Talk-Show",10
"Bangladesh","Thriller",70
"Bangladesh","War",2
"Belgium","Action",199
"Belgium","Adult",2
"Belgium","Adventure",133
"Belgium","Animation",56
"Belgium","Biography",12
"Belgium","Comedy",188
"Belgium","Crime",122
"Belgium","Documentary",27
"Belgium","Drama",295
"Belgium","Family",19
"Belgium","Fantasy",55
"Belgium","Film-Noir",5
"Belgium","Game-Show",5
"Belgium","History",2
"Belgium","Horror",32
"Belgium","Music",8
"Belgium","Mystery",50
"Belgium","Reality-TV",9
"Belgium","Romance",71
"Belgium","Sci-Fi",28
"Belgium","Short",4
"Belgium","Sport",15
"Belgium","Talk-Show",8
"Belgium","Thriller",64
"Belgium","War",4
"Belgium","Western",4
"Bolivia","Action",158
"Bolivia","Adult",3
"Bolivia","Adventure",140
"Bolivia","Animation",98
"Bolivia","Biography",1
"Bolivia","Comedy",224
"Bolivia","Crime",82
"Bolivia","Documentary",8
"Bolivia","Drama",267
"Bolivia","Family",14
"Bolivia","Fantasy",32
"Bolivia","Film-Noir",4
"Bolivia","History",1
"Bolivia","Horror",32
"Bolivia","Music",21
"Bolivia","Mystery",45
"Bolivia","Reality-TV",3
"Bolivia","Romance",106
"Bolivia","Sci-Fi",23
"Bolivia","Sport",7
"Bolivia","Talk-Show",6
"Bolivia","Thriller",52
"Bolivia","War",2
"Bolivia","Western",1
"Brazil","Action",161
"Brazil","Adult",2
"Brazil","Adventure",211
"Brazil","Animation",71
"Brazil","Biography",6
"Brazil","Comedy",200
"Brazil","Crime",110
"Brazil","Documentary",16
"Brazil","Drama",292
"Brazil","Family",69
"Brazil","Fantasy",31
"Brazil","Film-Noir",6
"Brazil","Game-Show",4
"Brazil","History",1
"Brazil","Horror",31
"Brazil","Music",20
"Brazil","Musical",22
"Brazil","Mystery",45
"Brazil","Reality-TV",11
"Brazil","Romance",112
"Brazil","Sci-Fi",20
"Brazil","Short",2
"Brazil","Sport",12
"Brazil","Talk-Show",6
"Brazil","Thriller",56
"Brazil","War",2
"Brazil","Western",2
"Bulgaria","Action",217
"Bulgaria","Adult",2
"Bulgaria","Adventure",126
"Bulgaria","Animation",51
"Bulgaria","Biography",9
"Bulgaria","Comedy",192
"Bulgaria","Crime",114
"Bulgaria","Documentary",31
"Bulgaria","Drama",297
"Bulgaria","Family",21
"Bulgaria","Fantasy",40
"Bulgaria","Film-Noir",7
"Bulgaria","Game-Show",10
"Bulgaria","History",2
"Bulgaria","Horror",29
"Bulgaria","Music",2
"Bulgaria","Mystery",46
"Bulgaria","Reality-TV",14
"Bulgaria","Romance",90
"Bulgaria","Sci-Fi",37
"Bulgaria","Short",4
"Bulgaria","Sport",16
"Bulgaria","Talk-Show",11
"Bulgaria","Thriller",56
"Bulgaria","War",3
"Bulgaria","Western",5
"Canada","Action",171
"Canada","Adult",2
"Canada","Adventure",101
