"id","n","label","parent"
"total",115625,NA,NA
"total  -   Action",17684," Action","total"
"total  -   Adventure",10855," Adventure","total"
"total  -   Animation",3962," Animation","total"
"total  -   Comedy",17407," Comedy","total"
"total  -   Crime",12083," Crime","total"
"total  -   Documentary",245," Documentary","total"
"total  -   Drama",29063," Drama","total"
"total  -   Family",279," Family","total"
"total  -   Fantasy",2436," Fantasy","total"
"total  -   Horror",641," Horror","total"
"total  -   Music",379," Music","total"
"total  -   Mystery",4853," Mystery","total"
"total  -   Romance",8093," Romance","total"
"total  -   Sci Fi",1298," Sci Fi","total"
"total  -   Thriller",6347," Thriller","total"
"total  -   Action  -  Argentina",139,"Argentina","total  -   Action"
"total  -   Adventure  -  Argentina",102,"Argentina","total  -   Adventure"
"total  -   Animation  -  Argentina",55,"Argentina","total  -   Animation"
"total  -   Comedy  -  Argentina",177,"Argentina","total  -   Comedy"
"total  -   Crime  -  Argentina",124,"Argentina","total  -   Crime"
"total  -   Drama  -  Argentina",362,"Argentina","total  -   Drama"
"total  -   Music  -  Argentina",37,"Argentina","total  -   Music"
"total  -   Mystery  -  Argentina",58,"Argentina","total  -   Mystery"
"total  -   Romance  -  Argentina",91,"Argentina","total  -   Romance"
"total  -   Thriller  -  Argentina",79,"Argentina","total  -   Thriller"
"total  -   Action  -  Australia",190,"Australia","total  -   Action"
"total  -   Adventure  -  Australia",126,"Australia","total  -   Adventure"
"total  -   Animation  -  Australia",52,"Australia","total  -   Animation"
"total  -   Comedy  -  Australia",179,"Australia","total  -   Comedy"
"total  -   Crime  -  Australia",133,"Australia","total  -   Crime"
"total  -   Drama  -  Australia",275,"Australia","total  -   Drama"
"total  -   Mystery  -  Australia",54,"Australia","total  -   Mystery"
"total  -   Romance  -  Australia",63,"Australia","total  -   Romance"
"total  -   Sci Fi  -  Australia",56,"Australia","total  -   Sci Fi"
"total  -   Thriller  -  Australia",63,"Australia","total  -   Thriller"
"total  -   Action  -  Austria",200,"Austria","total  -   Action"
"total  -   Adventure  -  Austria",131,"Austria","total  -   Adventure"
"total  -   Comedy  -  Austria",180,"Austria","total  -   Comedy"
"total  -   Crime  -  Austria",150,"Austria","total  -   Crime"
"total  -   Drama  -  Austria",295,"Austria","total  -   Drama"
"total  -   Family  -  Austria",39,"Austria","total  -   Family"
"total  -   Fantasy  -  Austria",57,"Austria","total  -   Fantasy"
"total  -   Mystery  -  Austria",62,"Austria","total  -   Mystery"
"total  -   Romance  -  Austria",72,"Austria","total  -   Romance"
"total  -   Thriller  -  Austria",78,"Austria","total  -   Thriller"
"total  -   Action  -  Bahamas",184,"Bahamas","total  -   Action"
"total  -   Adventure  -  Bahamas",98,"Bahamas","total  -   Adventure"
"total  -   Animation  -  Bahamas",75,"Bahamas","total  -   Animation"
"total  -   Comedy  -  Bahamas",185,"Bahamas","total  -   Comedy"
"total  -   Crime  -  Bahamas",135,"Bahamas","total  -   Crime"
"total  -   Drama  -  Bahamas",291,"Bahamas","total  -   Drama"
"total  -   Family  -  Bahamas",43,"Bahamas","total  -   Family"
"total  -   Mystery  -  Bahamas",41,"Bahamas","total  -   Mystery"
"total  -   Romance  -  Bahamas",61,"Bahamas","total  -   Romance"
"total  -   Thriller  -  Bahamas",101,"Bahamas","total  -   Thriller"
"total  -   Action  -  Bahrain",206,"Bahrain","total  -   Action"
"total  -   Adventure  -  Bahrain",109,"Bahrain","total  -   Adventure"
"total  -   Animation  -  Bahrain",36,"Bahrain","total  -   Animation"
"total  -   Comedy  -  Bahrain",161,"Bahrain","total  -   Comedy"
"total  -   Crime  -  Bahrain",131,"Bahrain","total  -   Crime"
"total  -   Drama  -  Bahrain",306,"Bahrain","total  -   Drama"
"total  -   Fantasy  -  Bahrain",41,"Bahrain","total  -   Fantasy"
"total  -   Mystery  -  Bahrain",54,"Bahrain","total  -   Mystery"
"total  -   Romance  -  Bahrain",78,"Bahrain","total  -   Romance"
"total  -   Thriller  -  Bahrain",78,"Bahrain","total  -   Thriller"
"total  -   Action  -  Bangladesh",228,"Bangladesh","total  -   Action"
"total  -   Adventure  -  Bangladesh",94,"Bangladesh","total  -   Adventure"
"total  -   Comedy  -  Bangladesh",191,"Bangladesh","total  -   Comedy"
"total  -   Crime  -  Bangladesh",163,"Bangladesh","total  -   Crime"
"total  -   Drama  -  Bangladesh",345,"Bangladesh","total  -   Drama"
"total  -   Horror  -  Bangladesh",30,"Bangladesh","total  -   Horror"
"total  -   Mystery  -  Bangladesh",92,"Bangladesh","total  -   Mystery"
"total  -   Romance  -  Bangladesh",81,"Bangladesh","total  -   Romance"
"total  -   Sci Fi  -  Bangladesh",43,"Bangladesh","total  -   Sci Fi"
"total  -   Thriller  -  Bangladesh",70,"Bangladesh","total  -   Thriller"
"total  -   Action  -  Belgium",199,"Belgium","total  -   Action"
"total  -   Adventure  -  Belgium",133,"Belgium","total  -   Adventure"
"total  -   Animation  -  Belgium",56,"Belgium","total  -   Animation"
"total  -   Comedy  -  Belgium",188,"Belgium","total  -   Comedy"
"total  -   Crime  -  Belgium",122,"Belgium","total  -   Crime"
"total  -   Drama  -  Belgium",295,"Belgium","total  -   Drama"
"total  -   Fantasy  -  Belgium",55,"Belgium","total  -   Fantasy"
"total  -   Mystery  -  Belgium",50,"Belgium","total  -   Mystery"
"total  -   Romance  -  Belgium",71,"Belgium","total  -   Romance"
"total  -   Thriller  -  Belgium",64,"Belgium","total  -   Thriller"
"total  -   Action  -  Bolivia",158,"Bolivia","total  -   Action"
"total  -   Adventure  -  Bolivia",140,"Bolivia","total  -   Adventure"
"total  -   Animation  -  Bolivia",98,"Bolivia","total  -   Animation"
"total  -   Comedy  -  Bolivia",224,"Bolivia","total  -   Comedy"
"total  -   Crime  -  Bolivia",82,"Bolivia","total  -   Crime"
"total  -   Drama  -  Bolivia",267,"Bolivia","total  -   Drama"
"total  -   Fantasy  -  Bolivia",32,"Bolivia","total  -   Fantasy"
"total  -   Horror  -  Bolivia",32,"Bolivia","total  -   Horror"
"total  -   Mystery  -  Bolivia",45,"Bolivia","total  -   Mystery"
"total  -   Romance  -  Bolivia",106,"Bolivia","total  -   Romance"
"total  -   Thriller  -  Bolivia",52,"Bolivia","total  -   Thriller"
"total  -   Action  -  Brazil",161,"Brazil","total  -   Action"
"total  -   Adventure  -  Brazil",211,"Brazil","total  -   Adventure"
"total  -   Animation  -  Brazil",71,"Brazil","total  -   Animation"
"total  -   Comedy  -  Brazil",200,"Brazil","total  -   Comedy"
"total  -   Crime  -  Brazil",110,"Brazil","total  -   Crime"
"total  -   Drama  -  Brazil",292,"Brazil","total  -   Drama"
"total  -   Family  -  Brazil",69,"Brazil","total  -   Family"
"total  -   Mystery  -  Brazil",45,"Brazil","total  -   Mystery"
"total  -   Romance  -  Brazil",112,"Brazil","total  -   Romance"
"total  -   Thriller  -  Brazil",56,"Brazil","total  -   Thriller"
"total  -   Action  -  Bulgaria",217,"Bulgaria","total  -   Action"
"total  -   Adventure  -  Bulgaria",126,"Bulgaria","total  -   Adventure"
"total  -   Animation  -  Bulgaria",51,"Bulgaria","total  -   Animation"
"total  -   Comedy  -  Bulgaria",192,"Bulgaria","total  -   Comedy"
"total  -   Crime  -  Bulgaria",114,"Bulgaria","total  -   Crime"
"total  -   Drama  -  Bulgaria",297,"Bulgaria","total  -   Drama"
"total  -   Fantasy  -  Bulgaria",40,"Bulgaria","total  -   Fantasy"
"total  -   Mystery  -  Bulgaria",46,"Bulgaria","total  -   Mystery"
"total  -   Romance  -  Bulgaria",90,"Bulgaria","total  -   Romance"
"total  -   Thriller  -  Bulgaria",56,"Bulgaria","total  -   Thriller"
"total  -   Action  -  Canada",171,"Canada","total  -   Action"
"total  -   Adventure  -  Canada",101,"Canada","total  -   Adventure"
"total  -   Animation  -  Canada",53,"Canada","total  -   Animation"
"total  -   Comedy  -  Canada",180,"Canada","total  -   Comedy"
"total  -   Crime  -  Canada",142,"Canada","total  -   Crime"
"total  -   Documentary  -  Canada",38,"Canada","total  -   Documentary"
"total  -   Drama  -  Canada",274,"Canada","total  -   Drama"
"total  -   Mystery  -  Canada",59,"Canada","total  -   Mystery"
"total  -   Romance  -  Canada",69,"Canada","total  -   Romance"
"total  -   Thriller  -  Canada",69,"Canada","total  -   Thriller"
