"label","n","parent","id"
"Action",17684,"total","Action"
"Adult",214,"total","Adult"
"Adventure",10855,"total","Adventure"
"Animation",4624,"total","Animation"
"Biography",718,"total","Biography"
"Comedy",17407,"total","Comedy"
"Crime",12083,"total","Crime"
"Documentary",2035,"total","Documentary"
"Drama",29063,"total","Drama"
"Family",1922,"total","Family"
"Fantasy",3616,"total","Fantasy"
"Film Noir",520,"total","Film Noir"
"Game Show",496,"total","Game Show"
"History",271,"total","History"
"Horror",2995,"total","Horror"
"Music",986,"total","Music"
"Musical",80,"total","Musical"
"Mystery",4976,"total","Mystery"
"Reality TV",897,"total","Reality TV"
"Romance",8093,"total","Romance"
"Sci Fi",2894,"total","Sci Fi"
"Short",247,"total","Short"
"Sport",1227,"total","Sport"
"Talk Show",759,"total","Talk Show"
"Thriller",6347,"total","Thriller"
"War",318,"total","War"
"Western",242,"total","Western"
"Argentina",139," Action"," Action  -  Argentina"
"Argentina",1," Adult"," Adult  -  Argentina"
"Argentina",102," Adventure"," Adventure  -  Argentina"
"Argentina",55," Animation"," Animation  -  Argentina"
"Argentina",6," Biography"," Biography  -  Argentina"
"Argentina",177," Comedy"," Comedy  -  Argentina"
"Argentina",124," Crime"," Crime  -  Argentina"
"Argentina",18," Documentary"," Documentary  -  Argentina"
"Argentina",362," Drama"," Drama  -  Argentina"
"Argentina",13," Family"," Family  -  Argentina"
"Argentina",29," Fantasy"," Fantasy  -  Argentina"
"Argentina",5," Film Noir"," Film Noir  -  Argentina"
"Argentina",3," History"," History  -  Argentina"
"Argentina",34," Horror"," Horror  -  Argentina"
"Argentina",37," Music"," Music  -  Argentina"
"Argentina",58," Mystery"," Mystery  -  Argentina"
"Argentina",91," Romance"," Romance  -  Argentina"
"Argentina",12," Sci Fi"," Sci Fi  -  Argentina"
"Argentina",2," Short"," Short  -  Argentina"
"Argentina",15," Sport"," Sport  -  Argentina"
"Argentina",9," Talk Show"," Talk Show  -  Argentina"
"Argentina",79," Thriller"," Thriller  -  Argentina"
"Argentina",4," War"," War  -  Argentina"
"Argentina",3," Western"," Western  -  Argentina"
"Australia",190," Action"," Action  -  Australia"
"Australia",1," Adult"," Adult  -  Australia"
"Australia",126," Adventure"," Adventure  -  Australia"
"Australia",52," Animation"," Animation  -  Australia"
