"parents","n","labels","id"
"Argentina",1," Adult","Argentina  -   Adult"
"Argentina",102," Adventure","Argentina  -   Adventure"
"Argentina",55," Animation","Argentina  -   Animation"
"Argentina",6," Biography","Argentina  -   Biography"
"Argentina",177," Comedy","Argentina  -   Comedy"
"Argentina",124," Crime","Argentina  -   Crime"
"Argentina",18," Documentary","Argentina  -   Documentary"
"Argentina",362," Drama","Argentina  -   Drama"
"Argentina",13," Family","Argentina  -   Family"
"Argentina",29," Fantasy","Argentina  -   Fantasy"
"Argentina",5," Film Noir","Argentina  -   Film Noir"
"Argentina",3," History","Argentina  -   History"
"Argentina",34," Horror","Argentina  -   Horror"
"Argentina",37," Music","Argentina  -   Music"
"Argentina",58," Mystery","Argentina  -   Mystery"
"Argentina",91," Romance","Argentina  -   Romance"
"Argentina",12," Sci Fi","Argentina  -   Sci Fi"
"Argentina",2," Short","Argentina  -   Short"
"Argentina",15," Sport","Argentina  -   Sport"
"Argentina",9," Talk Show","Argentina  -   Talk Show"
"Argentina",79," Thriller","Argentina  -   Thriller"
"Argentina",4," War","Argentina  -   War"
"Argentina",3," Western","Argentina  -   Western"
"Australia",190," Action","Australia  -   Action"
"Australia",1," Adult","Australia  -   Adult"
"Australia",126," Adventure","Australia  -   Adventure"
"Australia",52," Animation","Australia  -   Animation"
"Australia",13," Biography","Australia  -   Biography"
"Australia",179," Comedy","Australia  -   Comedy"
"Australia",133," Crime","Australia  -   Crime"
"Australia",35," Documentary","Australia  -   Documentary"
"Australia",275," Drama","Australia  -   Drama"
"Australia",34," Family","Australia  -   Family"
"Australia",48," Fantasy","Australia  -   Fantasy"
"Australia",5," Film Noir","Australia  -   Film Noir"
"Australia",8," Game Show","Australia  -   Game Show"
"Australia",5," History","Australia  -   History"
"Australia",29," Horror","Australia  -   Horror"
"Australia",54," Mystery","Australia  -   Mystery"
"Australia",26," Reality TV","Australia  -   Reality TV"
"Australia",63," Romance","Australia  -   Romance"
"Australia",56," Sci Fi","Australia  -   Sci Fi"
"Australia",5," Short","Australia  -   Short"
"Australia",15," Sport","Australia  -   Sport"
"Australia",10," Talk Show","Australia  -   Talk Show"
"Australia",63," Thriller","Australia  -   Thriller"
"Australia",8," War","Australia  -   War"
"Australia",4," Western","Australia  -   Western"
"Austria",200," Action","Austria  -   Action"
"Austria",4," Adult","Austria  -   Adult"
"Austria",131," Adventure","Austria  -   Adventure"
"Austria",36," Animation","Austria  -   Animation"
"Austria",13," Biography","Austria  -   Biography"
"Austria",180," Comedy","Austria  -   Comedy"
"Austria",150," Crime","Austria  -   Crime"
"Austria",29," Documentary","Austria  -   Documentary"
"Austria",295," Drama","Austria  -   Drama"
"Austria",39," Family","Austria  -   Family"
"Austria",57," Fantasy","Austria  -   Fantasy"
"Austria",6," Film Noir","Austria  -   Film Noir"
"Austria",6," Game Show","Austria  -   Game Show"
"Austria",5," History","Austria  -   History"
"Austria",38," Horror","Austria  -   Horror"
"Austria",3," Music","Austria  -   Music"
"Austria",62," Mystery","Austria  -   Mystery"
"Austria",10," Reality TV","Austria  -   Reality TV"
"Austria",72," Romance","Austria  -   Romance"
"Austria",25," Sci Fi","Austria  -   Sci Fi"
"Austria",4," Short","Austria  -   Short"
"Austria",21," Sport","Austria  -   Sport"
"Austria",11," Talk Show","Austria  -   Talk Show"
"Austria",78," Thriller","Austria  -   Thriller"
"Austria",3," War","Austria  -   War"
"Austria",3," Western","Austria  -   Western"
"Bahamas",184," Action","Bahamas  -   Action"
"Bahamas",3," Adult","Bahamas  -   Adult"
"Bahamas",98," Adventure","Bahamas  -   Adventure"
"Bahamas",75," Animation","Bahamas  -   Animation"
"Bahamas",8," Biography","Bahamas  -   Biography"
"Bahamas",185," Comedy","Bahamas  -   Comedy"
"Bahamas",135," Crime","Bahamas  -   Crime"
"Bahamas",13," Documentary","Bahamas  -   Documentary"
"Bahamas",291," Drama","Bahamas  -   Drama"
"Bahamas",43," Family","Bahamas  -   Family"
"Bahamas",36," Fantasy","Bahamas  -   Fantasy"
"Bahamas",5," Film Noir","Bahamas  -   Film Noir"
"Bahamas",5," Game Show","Bahamas  -   Game Show"
"Bahamas",34," Horror","Bahamas  -   Horror"
"Bahamas",3," Music","Bahamas  -   Music"
"Bahamas",41," Mystery","Bahamas  -   Mystery"
"Bahamas",10," Reality TV","Bahamas  -   Reality TV"
"Bahamas",61," Romance","Bahamas  -   Romance"
"Bahamas",23," Sci Fi","Bahamas  -   Sci Fi"
"Bahamas",4," Short","Bahamas  -   Short"
"Bahamas",17," Sport","Bahamas  -   Sport"
"Bahamas",6," Talk Show","Bahamas  -   Talk Show"
"Bahamas",101," Thriller","Bahamas  -   Thriller"
"Bahamas",2," War","Bahamas  -   War"
"Bahrain",206," Action","Bahrain  -   Action"
"Bahrain",2," Adult","Bahrain  -   Adult"
"Bahrain",109," Adventure","Bahrain  -   Adventure"
"Bahrain",36," Animation","Bahrain  -   Animation"
"Bahrain",14," Biography","Bahrain  -   Biography"
"Bahrain",161," Comedy","Bahrain  -   Comedy"
"Bahrain",131," Crime","Bahrain  -   Crime"
"Bahrain",18," Documentary","Bahrain  -   Documentary"
"Bahrain",306," Drama","Bahrain  -   Drama"
"Bahrain",16," Family","Bahrain  -   Family"
"Bahrain",41," Fantasy","Bahrain  -   Fantasy"
"Bahrain",6," Film Noir","Bahrain  -   Film Noir"
"Bahrain",11," Game Show","Bahrain  -   Game Show"
"Bahrain",2," History","Bahrain  -   History"
"Bahrain",32," Horror","Bahrain  -   Horror"
"Bahrain",1," Music","Bahrain  -   Music"
"Bahrain",54," Mystery","Bahrain  -   Mystery"
"Bahrain",14," Reality TV","Bahrain  -   Reality TV"
"Bahrain",78," Romance","Bahrain  -   Romance"
"Bahrain",24," Sci Fi","Bahrain  -   Sci Fi"
"Bahrain",3," Short","Bahrain  -   Short"
"Bahrain",15," Sport","Bahrain  -   Sport"
"Bahrain",10," Talk Show","Bahrain  -   Talk Show"
"Bahrain",78," Thriller","Bahrain  -   Thriller"
"Bahrain",2," War","Bahrain  -   War"
"Bahrain",3," Western","Bahrain  -   Western"
"Bangladesh",228," Action","Bangladesh  -   Action"
"Bangladesh",1," Adult","Bangladesh  -   Adult"
"Bangladesh",94," Adventure","Bangladesh  -   Adventure"
"Bangladesh",29," Animation","Bangladesh  -   Animation"
"Bangladesh",4," Biography","Bangladesh  -   Biography"
"Bangladesh",191," Comedy","Bangladesh  -   Comedy"
"Bangladesh",163," Crime","Bangladesh  -   Crime"
"Bangladesh",16," Documentary","Bangladesh  -   Documentary"
"Bangladesh",345," Drama","Bangladesh  -   Drama"
"Bangladesh",11," Family","Bangladesh  -   Family"
"Bangladesh",27," Fantasy","Bangladesh  -   Fantasy"
"Bangladesh",5," Film Noir","Bangladesh  -   Film Noir"
"Bangladesh",4," Game Show","Bangladesh  -   Game Show"
"Bangladesh",2," History","Bangladesh  -   History"
"Bangladesh",30," Horror","Bangladesh  -   Horror"
"Bangladesh",5," Musical","Bangladesh  -   Musical"
"Bangladesh",92," Mystery","Bangladesh  -   Mystery"
"Bangladesh",2," Reality TV","Bangladesh  -   Reality TV"
"Bangladesh",81," Romance","Bangladesh  -   Romance"
"Bangladesh",43," Sci Fi","Bangladesh  -   Sci Fi"
"Bangladesh",2," Short","Bangladesh  -   Short"
"Bangladesh",4," Sport","Bangladesh  -   Sport"
"Bangladesh",10," Talk Show","Bangladesh  -   Talk Show"
"Bangladesh",70," Thriller","Bangladesh  -   Thriller"
"Bangladesh",2," War","Bangladesh  -   War"
"Belgium",199," Action","Belgium  -   Action"
"Belgium",2," Adult","Belgium  -   Adult"
"Belgium",133," Adventure","Belgium  -   Adventure"
"Belgium",56," Animation","Belgium  -   Animation"
"Belgium",12," Biography","Belgium  -   Biography"
"Belgium",188," Comedy","Belgium  -   Comedy"
"Belgium",122," Crime","Belgium  -   Crime"
"Belgium",27," Documentary","Belgium  -   Documentary"
"Belgium",295," Drama","Belgium  -   Drama"
"Belgium",19," Family","Belgium  -   Family"
"Belgium",55," Fantasy","Belgium  -   Fantasy"
"Belgium",5," Film Noir","Belgium  -   Film Noir"
"Belgium",5," Game Show","Belgium  -   Game Show"
"Belgium",2," History","Belgium  -   History"
"Belgium",32," Horror","Belgium  -   Horror"
"Belgium",8," Music","Belgium  -   Music"
"Belgium",50," Mystery","Belgium  -   Mystery"
"Belgium",9," Reality TV","Belgium  -   Reality TV"
"Belgium",71," Romance","Belgium  -   Romance"
"Belgium",28," Sci Fi","Belgium  -   Sci Fi"
"Belgium",4," Short","Belgium  -   Short"
"Belgium",15," Sport","Belgium  -   Sport"
"Belgium",8," Talk Show","Belgium  -   Talk Show"
"Belgium",64," Thriller","Belgium  -   Thriller"
"Belgium",4," War","Belgium  -   War"
"Belgium",4," Western","Belgium  -   Western"
"Bolivia",158," Action","Bolivia  -   Action"
"Bolivia",3," Adult","Bolivia  -   Adult"
"Bolivia",140," Adventure","Bolivia  -   Adventure"
"Bolivia",98," Animation","Bolivia  -   Animation"
"Bolivia",1," Biography","Bolivia  -   Biography"
"Bolivia",224," Comedy","Bolivia  -   Comedy"
"Bolivia",82," Crime","Bolivia  -   Crime"
"Bolivia",8," Documentary","Bolivia  -   Documentary"
"Bolivia",267," Drama","Bolivia  -   Drama"
"Bolivia",14," Family","Bolivia  -   Family"
"Bolivia",32," Fantasy","Bolivia  -   Fantasy"
"Bolivia",4," Film Noir","Bolivia  -   Film Noir"
"Bolivia",1," History","Bolivia  -   History"
"Bolivia",32," Horror","Bolivia  -   Horror"
"Bolivia",21," Music","Bolivia  -   Music"
"Bolivia",45," Mystery","Bolivia  -   Mystery"
"Bolivia",3," Reality TV","Bolivia  -   Reality TV"
"Bolivia",106," Romance","Bolivia  -   Romance"
"Bolivia",23," Sci Fi","Bolivia  -   Sci Fi"
"Bolivia",7," Sport","Bolivia  -   Sport"
"Bolivia",6," Talk Show","Bolivia  -   Talk Show"
"Bolivia",52," Thriller","Bolivia  -   Thriller"
"Bolivia",2," War","Bolivia  -   War"
